Date;Heure;prod_eolienne_MWh;prod_solaire_MWh
2022-05-26;16:00;4077;3427
2022-05-27;12:00;2255;4388
2022-05-27;19:00;3368;1315
2022-05-27;23:00;3714;3
2022-05-28;09:00;2307;3324
2022-05-28;14:00;3089;5885
2022-05-28;15:00;3595;5658
2022-05-28;21:00;6166;32
2022-05-29;11:00;3537;5536
2022-05-29;22:00;4179;1
2022-05-29;23:00;4468;1
2022-05-30;10:00;602;4154
2022-05-30;12:00;650;5407
2022-05-30;14:00;384;5315
2022-05-30;21:00;863;37
2022-05-31;03:00;1528;1
2022-05-31;04:00;1130;1
2022-05-31;09:00;317;2437
2022-05-31;19:00;2608;1250
2022-05-31;23:00;2056;2
2022-06-01;03:00;1793;1
2022-06-01;07:00;1172;520
2022-06-01;11:00;567;4922
2022-06-01;22:00;3865;3
2022-06-02;04:00;4484;1
2022-06-02;10:00;1645;3546
2022-06-02;18:00;1352;2286
2022-06-03;02:00;3648;1
2022-06-03;06:00;2985;54
2022-06-03;11:00;781;2977
2022-06-03;12:00;832;3872
2022-06-03;20:00;2287;326
2022-06-03;22:00;3310;4
2022-06-04;10:00;1011;3355
2022-06-04;13:00;1183;4497
2022-06-05;05:00;1640;1
2022-06-05;08:00;1786;1069
2022-06-05;18:00;5255;2343
2022-06-05;20:00;3927;372
2022-06-06;01:00;2757;2
2022-06-06;02:00;2378;2
2022-06-06;13:00;3884;5002
2022-06-06;20:00;1872;361
2022-06-06;23:00;1764;2
2022-06-07;03:00;2246;1
2022-06-07;05:00;2474;1
2022-06-07;06:00;2536;76
2022-06-07;19:00;4110;1361
2022-06-08;00:00;3004;1
2022-06-08;02:00;3022;1
2022-06-08;07:00;3251;339
2022-06-08;18:00;7931;1980
2022-06-09;02:00;5284;1
2022-06-09;04:00;4881;1
2022-06-09;15:00;4433;4792
2022-06-09;18:00;3693;2527
2022-06-09;23:00;2130;2
2022-06-10;01:00;2349;2
2022-06-10;04:00;2288;2
2022-06-10;12:00;2286;5713
2022-06-10;13:00;2469;5944
2022-06-11;01:00;1101;3
2022-06-11;06:00;835;91
2022-06-11;09:00;308;3356
2022-06-11;13:00;348;6056
2022-06-11;15:00;538;5720
2022-06-11;17:00;718;3591
2022-06-11;23:00;3043;3
2022-06-12;14:00;1534;5196
2022-06-12;15:00;1717;5000
2022-06-12;17:00;2401;3581
2022-06-13;12:00;1341;5638
2022-06-13;23:00;3882;1
2022-06-14;02:00;4762;1
2022-06-14;09:00;803;3304
2022-06-14;14:00;820;5858
2022-06-15;00:00;4562;1
2022-06-15;05:00;2382;3
2022-06-15;08:00;912;1575
2022-06-15;14:00;627;5602
2022-06-15;23:00;3174;2
2022-06-16;02:00;1791;1
2022-06-16;03:00;1655;1
2022-06-16;04:00;1669;1
2022-06-16;09:00;594;2993
2022-06-16;18:00;531;2609
2022-06-17;02:00;3146;3
2022-06-17;08:00;2070;1715
2022-06-17;11:00;706;5207
2022-06-17;12:00;899;5745
2022-06-17;19:00;677;1441
2022-06-17;20:00;731;482
2022-06-17;21:00;1007;64
2022-06-17;23:00;1592;1
2022-06-18;00:00;1595;1
2022-06-18;10:00;836;4301
2022-06-18;14:00;2061;5850
2022-06-18;15:00;2408;5552
2022-06-18;16:00;2704;4929
2022-06-18;17:00;3187;3923
2022-06-18;19:00;4133;1353
2022-06-18;20:00;4862;405
2022-06-19;00:00;9078;2
2022-06-19;22:00;6756;3
2022-06-20;03:00;4145;1
2022-06-20;05:00;3419;1
2022-06-20;10:00;2655;3020
2022-06-20;11:00;2707;3786
2022-06-20;14:00;2320;5060
2022-06-21;01:00;5696;1
2022-06-21;03:00;4359;0
2022-06-21;05:00;3084;2
2022-06-21;08:00;2069;1138
2022-06-21;22:00;1997;1
2022-06-21;23:00;2735;1
2022-06-22;00:00;3441;1
2022-06-22;10:00;1664;3043
2022-06-22;11:00;1907;3743
2022-06-22;13:00;1904;3655
2022-06-22;22:00;1440;1
2022-06-22;23:00;1603;2
2022-06-23;01:00;1306;1
2022-06-23;12:00;1259;4329
2022-06-24;02:00;2171;3
2022-06-24;12:00;3890;3922
2022-06-24;18:00;7154;2553
2022-06-24;22:00;4910;1
2022-06-24;23:00;4908;1
2022-06-25;07:00;1654;474
2022-06-25;09:00;1077;2339
2022-06-25;17:00;2857;2425
2022-06-25;18:00;2937;1542
2022-06-25;21:00;2090;34
2022-06-25;22:00;2089;1
2022-06-26;00:00;2668;1
2022-06-26;07:00;1255;374
2022-06-26;14:00;1129;3231
2022-06-26;19:00;1264;787
2022-06-26;23:00;1167;3
2022-06-27;01:00;1172;2
2022-06-27;05:00;1222;1
2022-06-27;06:00;1211;48
2022-06-28;07:00;1360;529
2022-06-28;16:00;2177;4851
2022-06-28;17:00;2142;4134
2022-06-28;18:00;2014;2969
2022-06-28;21:00;1542;65
2022-06-28;22:00;1576;5
2022-06-28;23:00;1677;4
2022-06-29;00:00;1530;3
2022-06-29;04:00;1082;1
2022-06-29;09:00;495;3224
2022-06-29;11:00;1161;5079
2022-06-29;13:00;1330;5524
2022-06-29;20:00;1541;332
2022-06-30;06:00;894;60
2022-06-30;12:00;1168;2860
2022-06-30;14:00;2530;3109
2022-06-30;17:00;2913;2171
2022-07-01;00:00;2772;4
2022-07-01;04:00;2251;3
2022-07-01;15:00;1898;5254
2022-07-02;00:00;730;3
2022-07-02;03:00;694;1
2022-07-02;09:00;409;3507
2022-07-02;11:00;970;5654
2022-07-02;13:00;877;6274
2022-07-02;19:00;1145;1626
2022-07-03;01:00;1591;2
2022-07-03;03:00;1432;1
2022-07-03;04:00;1240;1
2022-07-03;07:00;1113;559
2022-07-03;10:00;667;4409
2022-07-04;02:00;3068;3
2022-07-04;04:00;2111;1
2022-07-04;06:00;1784;64
2022-07-04;10:00;487;3455
2022-07-04;13:00;758;4875
2022-07-04;17:00;1748;3587
2022-07-04;20:00;2665;389
2022-07-05;20:00;3531;478
2022-07-05;21:00;3870;61
2022-07-05;22:00;4607;6
2022-07-06;05:00;2948;6
2022-07-06;06:00;2880;76
2022-07-06;07:00;2301;521
2022-07-06;08:00;1455;1623
2022-07-06;11:00;1742;5160
2022-07-06;13:00;1802;5883
2022-07-06;23:00;3133;1
2022-07-07;03:00;3582;1
2022-07-07;05:00;2966;1
2022-07-07;07:00;2427;499
2022-07-07;11:00;3392;5002
2022-07-07;12:00;3848;5338
2022-07-07;17:00;5328;3806
2022-07-07;19:00;5247;1505
2022-07-08;05:00;3853;4
2022-07-08;08:00;1955;1727
2022-07-08;12:00;1931;6220
2022-07-08;14:00;2425;6427
2022-07-08;17:00;3498;4613
2022-07-08;18:00;3663;3276
2022-07-08;19:00;3678;1678
2022-07-08;22:00;3610;3
2022-07-09;00:00;3703;4
2022-07-09;07:00;2112;507
2022-07-09;10:00;1150;4601
2022-07-09;16:00;4402;5395
2022-07-10;01:00;5625;4
2022-07-10;04:00;4648;3
2022-07-10;08:00;2640;1767
2022-07-10;15:00;3225;6015
2022-07-10;23:00;4992;7
2022-07-11;03:00;4161;5
2022-07-11;09:00;2441;3323
2022-07-11;10:00;2678;4595
2022-07-11;17:00;2816;4384
2022-07-12;02:00;3785;1
2022-07-12;06:00;2524;53
2022-07-12;07:00;2158;472
2022-07-12;11:00;790;5505
2022-07-12;17:00;801;4396
2022-07-13;07:00;990;463
2022-07-13;08:00;563;1647
2022-07-13;10:00;227;4405
2022-07-13;11:00;261;5322
2022-07-13;15:00;1347;5680
2022-07-13;21:00;1726;53
2022-07-13;23:00;1289;3
2022-07-14;04:00;1048;1
2022-07-14;13:00;1984;6078
2022-07-14;15:00;3426;5781
2022-07-15;00:00;5761;5
2022-07-15;09:00;1931;3114
2022-07-15;12:00;1964;5945
2022-07-15;13:00;1752;6128
2022-07-15;16:00;1636;5251
2022-07-15;22:00;3439;6
2022-07-16;05:00;2965;1
2022-07-16;08:00;1831;1613
2022-07-16;18:00;2803;3035
2022-07-17;00:00;6764;5
2022-07-17;06:00;4343;43
2022-07-17;10:00;1766;4390
2022-07-17;12:00;2763;5913
2022-07-17;13:00;2408;6125
2022-07-18;00:00;4540;3
2022-07-18;06:00;3389;41
2022-07-18;14:00;1532;5949
2022-07-18;15:00;1653;5628
2022-07-18;22:00;4388;4
2022-07-19;03:00;5593;5
2022-07-19;06:00;5802;38
2022-07-19;07:00;5471;361
2022-07-19;12:00;4748;5288
2022-07-19;14:00;5582;5736
2022-07-19;16:00;5335;4911
2022-07-19;18:00;4572;2629
2022-07-20;03:00;2458;1
2022-07-20;06:00;2257;28
2022-07-20;11:00;1716;3625
2022-07-20;15:00;3256;4434
2022-07-20;18:00;2860;2391
2022-07-20;23:00;1750;3
2022-07-21;00:00;1812;1
2022-07-21;04:00;1673;2
2022-07-21;11:00;761;4881
2022-07-21;23:00;2830;3
2022-07-22;12:00;739;4758
2022-07-22;13:00;808;4873
2022-07-22;20:00;2022;271
2022-07-23;03:00;1413;1
2022-07-23;13:00;666;5405
2022-07-23;17:00;1250;4094
2022-07-24;17:00;1444;4237
2022-07-24;20:00;1095;350
2022-07-24;21:00;1149;23
2022-07-24;22:00;1502;3
2022-07-25;06:00;3606;24
2022-07-25;15:00;8664;4236
2022-07-25;19:00;8502;990
2022-07-26;02:00;3400;2
2022-07-26;08:00;1166;1207
2022-07-26;14:00;2098;5137
2022-07-26;23:00;2818;2
2022-07-27;07:00;2723;366
2022-07-27;08:00;1952;1455
2022-07-27;11:00;1606;5075
2022-07-27;13:00;1386;5539
2022-07-27;16:00;1399;5065
2022-07-27;19:00;1981;1423
2022-07-28;00:00;4599;6
2022-07-28;06:00;2264;23
2022-07-28;10:00;221;3745
2022-07-28;23:00;1955;4
2022-07-29;02:00;1411;1
2022-07-29;14:00;1120;4349
2022-07-29;15:00;1286;4384
2022-07-29;19:00;2134;1172
2022-07-30;06:00;902;18
2022-07-30;07:00;917;324
2022-07-30;08:00;685;1371
2022-07-31;06:00;1438;15
2022-07-31;08:00;1413;1315
2022-07-31;12:00;2561;5782
2022-07-31;19:00;3679;1357
2022-07-31;22:00;2938;2
2022-08-01;01:00;2382;1
2022-08-01;05:00;984;1
2022-08-01;08:00;565;1265
2022-08-02;00:00;1387;2
2022-08-02;05:00;1231;1
2022-08-02;10:00;531;4395
2022-08-02;13:00;690;6115
2022-08-02;16:00;697;5193
2022-08-03;16:00;555;4977
2022-08-04;02:00;1447;1
2022-08-04;08:00;1210;1065
2022-08-04;14:00;1221;5535
2022-08-04;19:00;4185;1088
2022-08-04;20:00;4634;249
2022-08-04;21:00;3843;14
2022-08-05;00:00;2950;2
2022-08-05;02:00;3459;6
2022-08-05;04:00;2958;2
2022-08-05;06:00;2345;8
2022-08-05;10:00;2581;3483
2022-08-05;13:00;3553;5486
2022-08-05;14:00;4012;5584
2022-08-06;05:00;5664;3
2022-08-06;08:00;4422;1335
2022-08-06;12:00;5138;5995
2022-08-06;13:00;4721;6211
2022-08-06;18:00;5947;2750
2022-08-07;00:00;7912;4
2022-08-07;04:00;6320;2
2022-08-07;05:00;5949;2
2022-08-07;10:00;3262;4542
2022-08-07;15:00;4155;6046
2022-08-07;19:00;6166;1276
2022-08-08;03:00;6040;2
2022-08-08;04:00;5728;1
2022-08-08;07:00;5041;262
2022-08-08;11:00;3488;5481
2022-08-08;18:00;5716;2823
2022-08-08;19:00;6149;1234
2022-08-09;02:00;6751;1
2022-08-09;03:00;6406;1
2022-08-09;16:00;4540;5110
2022-08-09;18:00;5506;2687
2022-08-09;19:00;6110;1120
2022-08-09;22:00;7442;5
2022-08-10;06:00;5289;13
2022-08-10;07:00;4842;243
2022-08-10;11:00;2514;5280
2022-08-10;16:00;4312;4925
2022-08-10;20:00;4822;204
2022-08-10;22:00;6320;4
2022-08-11;00:00;6848;4
2022-08-11;01:00;6090;4
2022-08-11;03:00;4933;3
2022-08-11;04:00;4547;2
2022-08-11;09:00;1860;2728
2022-08-11;11:00;3220;5098
2022-08-11;18:00;3137;2534
2022-08-11;20:00;3540;204
2022-08-12;00:00;5515;5
2022-08-12;03:00;3978;5
2022-08-12;04:00;3711;3
2022-08-12;07:00;3480;228
2022-08-12;18:00;2152;2548
2022-08-12;22:00;4879;11
2022-08-13;01:00;4547;13
2022-08-13;02:00;4004;11
2022-08-13;04:00;3592;2
2022-08-13;09:00;1832;2442
2022-08-13;11:00;2260;5057
2022-08-13;15:00;1814;5379
2022-08-13;18:00;1507;2003
2022-08-13;21:00;2254;3
2022-08-14;04:00;3677;5
2022-08-14;05:00;3399;3
2022-08-14;12:00;2315;2614
2022-08-14;14:00;3349;3650
2022-08-14;19:00;3389;829
2022-08-14;22:00;1892;3
2022-08-14;23:00;1866;3
2022-08-15;05:00;2265;1
2022-08-15;12:00;3425;4349
2022-08-15;13:00;3107;4606
2022-08-15;16:00;3558;3967
2022-08-16;02:00;795;1
2022-08-16;06:00;538;5
2022-08-16;11:00;1269;3884
2022-08-16;14:00;1629;4275
2022-08-16;23:00;1478;1
2022-08-17;02:00;1568;2
2022-08-17;03:00;1391;1
2022-08-17;07:00;1327;112
2022-08-17;15:00;1089;3355
2022-08-17;21:00;1286;2
2022-08-17;22:00;1302;1
2022-08-18;05:00;1292;1
2022-08-18;08:00;1161;654
2022-08-18;21:00;3691;1
2022-08-19;07:00;2565;135
2022-08-19;14:00;3979;4446
2022-08-19;21:00;2830;5
2022-08-19;22:00;2632;4
2022-08-20;00:00;2825;3
2022-08-20;03:00;2455;3
2022-08-20;07:00;1498;144
2022-08-20;21:00;1120;6
2022-08-21;01:00;701;3
2022-08-21;09:00;493;2553
2022-08-22;01:00;2007;1
2022-08-22;03:00;1606;1
2022-08-22;13:00;1377;4760
2022-08-22;14:00;1611;4593
2022-08-22;19:00;1902;672
2022-08-23;00:00;1295;3
2022-08-23;07:00;917;144
2022-08-23;09:00;870;2196
2022-08-23;19:00;482;858
2022-08-24;01:00;767;1
2022-08-24;03:00;907;1
2022-08-24;07:00;949;141
2022-08-24;17:00;902;3609
2022-08-24;18:00;971;1999
2022-08-24;21:00;1841;6
2022-08-25;01:00;2547;3
2022-08-25;11:00;1579;4145
2022-08-26;00:00;4535;12
2022-08-26;11:00;2038;3980
2022-08-26;15:00;1916;4578
2022-08-26;18:00;2514;2017
2022-08-26;19:00;2586;749
2022-08-26;21:00;2684;3
2022-08-26;22:00;3033;3
2022-08-28;05:00;3768;2
2022-08-29;02:00;5133;1
2022-08-29;08:00;3758;904
2022-08-30;00:00;5336;2
2022-08-30;02:00;4166;1
2022-08-30;14:00;1024;4861
2022-08-30;17:00;2053;2746
2022-08-30;22:00;3151;5
2022-08-31;12:00;1972;4386
2022-08-31;17:00;2743;2480
2022-09-01;04:00;3165;1
2022-09-01;10:00;1054;3414
2022-09-01;13:00;1372;5551
2022-09-01;18:00;1165;1728
2022-09-02;02:00;2304;1
2022-09-02;04:00;1890;1
2022-09-02;05:00;1917;1
2022-09-02;15:00;1112;3467
2022-09-02;19:00;1026;447
2022-09-03;05:00;1437;1
2022-09-03;09:00;1117;1664
2022-09-03;10:00;1195;2751
2022-09-03;21:00;811;1
2022-09-04;01:00;1521;1
2022-09-04;11:00;1454;5092
2022-09-04;16:00;1989;4338
2022-09-04;18:00;2001;1811
2022-09-05;11:00;1776;4605
2022-09-05;17:00;3584;3131
2022-09-05;18:00;4248;1686
2022-09-05;19:00;4062;477
2022-09-06;01:00;3949;1
2022-09-06;15:00;2587;4475
2022-09-07;08:00;3062;547
2022-09-07;10:00;2496;2749
2022-09-07;14:00;3683;3107
2022-09-07;15:00;3796;2790
2022-09-07;16:00;3737;2416
2022-09-07;19:00;3077;323
2022-09-07;23:00;5236;1
2022-09-08;00:00;4421;1
2022-09-08;09:00;5152;1809
2022-09-08;11:00;6726;3583
2022-09-08;13:00;8224;4209
2022-09-08;15:00;8340;4078
2022-09-08;19:00;6089;419
2022-09-09;06:00;8484;1
2022-09-09;14:00;10825;4113
2022-09-09;18:00;8451;1572
2022-09-10;06:00;4921;1
2022-09-10;15:00;3577;4823
2022-09-10;17:00;3159;3064
2022-09-10;18:00;2531;1684
2022-09-11;03:00;530;1
2022-09-11;07:00;528;50
2022-09-11;14:00;457;5846
2022-09-11;16:00;519;4770
2022-09-11;17:00;591;3548
2022-09-11;19:00;1075;404
2022-09-12;02:00;3466;1
2022-09-12;07:00;2904;47
2022-09-12;09:00;1821;2358
2022-09-13;02:00;3192;1
2022-09-13;04:00;1853;1
2022-09-13;16:00;2882;2270
2022-09-13;21:00;2749;2
2022-09-13;23:00;3032;2
2022-09-14;04:00;2151;2
2022-09-14;05:00;2572;1
2022-09-14;08:00;2594;323
2022-09-14;12:00;2210;3487
2022-09-14;15:00;2957;3470
2022-09-14;20:00;2234;4
2022-09-15;00:00;1756;1
2022-09-15;07:00;1636;27
2022-09-15;10:00;1000;3131
2022-09-15;14:00;1185;4483
2022-09-15;22:00;2210;3
2022-09-16;04:00;1784;1
2022-09-16;10:00;1914;2963
2022-09-16;11:00;2833;3876
2022-09-16;14:00;4810;4579
2022-09-16;15:00;5443;4355
2022-09-16;17:00;5990;2637
2022-09-16;18:00;5889;1365
2022-09-17;04:00;5045;1
2022-09-17;15:00;5437;5500
2022-09-17;19:00;3604;265
2022-09-17;23:00;3653;3
2022-09-18;01:00;3117;3
2022-09-18;13:00;5466;6033
2022-09-18;17:00;5643;3214
2022-09-18;18:00;5052;1511
2022-09-18;23:00;4596;3
2022-09-19;02:00;2806;1
2022-09-19;05:00;2526;1
2022-09-19;08:00;2431;748
2022-09-19;10:00;1371;4152
2022-09-19;13:00;2143;5915
2022-09-19;15:00;2599;5330
2022-09-20;05:00;2021;1
2022-09-20;06:00;2023;1
2022-09-20;20:00;2357;6
2022-09-21;01:00;2731;2
2022-09-21;02:00;2710;1
2022-09-21;06:00;2941;1
2022-09-21;07:00;2962;25
2022-09-21;21:00;2440;3
2022-09-21;23:00;2790;1
2022-09-22;03:00;2233;1
2022-09-22;05:00;1772;1
2022-09-22;07:00;1382;22
2022-09-22;10:00;252;3879
2022-09-22;12:00;388;5576
2022-09-22;14:00;221;5770
2022-09-22;16:00;130;4481
2022-09-22;19:00;260;182
2022-09-22;20:00;349;2
2022-09-23;07:00;659;19
2022-09-23;11:00;562;3297
2022-09-23;12:00;567;3434
2022-09-23;15:00;668;2275
2022-09-23;17:00;746;974
2022-09-23;19:00;776;73
2022-09-24;00:00;1146;1
2022-09-24;02:00;1071;1
2022-09-24;03:00;1096;1
2022-09-24;06:00;1100;1
2022-09-24;11:00;856;2346
2022-09-24;19:00;3033;88
2022-09-25;03:00;2751;1
2022-09-25;04:00;2916;1
2022-09-25;09:00;2148;1429
2022-09-25;14:00;2393;3716
2022-09-25;15:00;2439;3626
2022-09-25;16:00;2403;3154
2022-09-25;21:00;1706;2
2022-09-26;00:00;1556;1
2022-09-26;03:00;2651;1
2022-09-26;12:00;11451;4075
2022-09-26;15:00;11822;3294
2022-09-26;22:00;7415;3
2022-09-26;23:00;7227;2
2022-09-27;06:00;6427;1
2022-09-27;10:00;7064;2345
2022-09-27;11:00;8068;3038
2022-09-27;15:00;9491;3191
2022-09-27;18:00;8558;588
2022-09-27;23:00;8653;1
2022-09-28;01:00;7545;1
2022-09-28;02:00;6924;1
2022-09-28;07:00;4792;7
2022-09-28;12:00;3146;3264
2022-09-28;14:00;2944;3113
2022-09-28;19:00;2970;50
2022-09-28;20:00;2961;2
2022-09-29;07:00;1339;7
2022-09-29;12:00;856;3225
2022-09-30;01:00;1031;1
2022-09-30;04:00;927;1
2022-09-30;05:00;995;1
2022-09-30;06:00;1161;1
2022-09-30;07:00;1229;4
2022-09-30;09:00;1213;1378
2022-09-30;12:00;1666;4581
2022-09-30;21:00;9785;2
2022-09-30;23:00;11856;1
2022-10-01;09:00;10314;750
2022-10-01;12:00;11310;2506
2022-10-01;17:00;10142;1403
2022-10-01;19:00;8314;48
2022-10-01;21:00;7748;4
2022-10-01;22:00;7622;3
2022-10-02;13:00;7274;3983
2022-10-02;19:00;2051;50
2022-10-02;23:00;1217;3
2022-10-03;07:00;916;7
2022-10-03;13:00;717;4331
2022-10-03;23:00;1643;1
2022-10-04;00:00;1577;1
2022-10-04;01:00;1424;1
2022-10-04;04:00;1008;1
2022-10-04;14:00;897;5441
2022-10-04;17:00;1102;2573
2022-10-05;00:00;2579;2
2022-10-05;04:00;5128;1
2022-10-05;06:00;6252;1
2022-10-05;07:00;6883;4
2022-10-05;09:00;7070;1415
2022-10-05;11:00;7781;4029
2022-10-05;17:00;8864;2167
2022-10-06;00:00;5376;2
2022-10-06;04:00;2406;1
2022-10-06;06:00;1895;1
2022-10-06;07:00;1700;4
2022-10-06;11:00;633;3367
2022-10-06;13:00;725;4119
2022-10-06;20:00;582;1
2022-10-07;00:00;1004;1
2022-10-07;06:00;1188;1
2022-10-07;12:00;737;4744
2022-10-07;14:00;1028;4737
2022-10-07;15:00;1107;4047
2022-10-08;06:00;1783;1
2022-10-08;12:00;1336;3070
2022-10-08;14:00;1110;3565
2022-10-09;03:00;4943;1
2022-10-09;10:00;2720;2866
2022-10-09;23:00;5501;1
2022-10-10;00:00;5330;1
2022-10-10;08:00;2583;204
2022-10-10;11:00;1387;2847
2022-10-10;16:00;2260;2032
2022-10-10;22:00;2539;1
2022-10-11;03:00;2663;1
2022-10-11;05:00;2691;1
2022-10-11;09:00;2469;954
2022-10-11;13:00;1127;3506
2022-10-11;21:00;2102;1
2022-10-12;06:00;426;1
2022-10-12;20:00;539;3
2022-10-12;22:00;952;2
2022-10-13;20:00;3753;3
2022-10-13;21:00;3622;2
2022-10-14;00:00;3449;1
2022-10-14;01:00;3289;1
2022-10-14;08:00;4535;117
2022-10-14;11:00;5593;1698
2022-10-14;14:00;5864;2308
2022-10-15;00:00;6871;1
2022-10-15;02:00;6277;1
2022-10-15;13:00;8887;3986
2022-10-15;16:00;6026;2262
2022-10-15;21:00;4973;3
2022-10-16;09:00;2158;974
2022-10-16;10:00;1842;2248
2022-10-16;13:00;2436;4265
2022-10-16;15:00;3768;3689
2022-10-16;16:00;3985;2780
2022-10-17;01:00;9153;1
2022-10-17;02:00;9075;1
2022-10-17;11:00;4971;2255
2022-10-17;12:00;4284;2674
2022-10-17;14:00;3193;3046
2022-10-17;15:00;2468;2546
2022-10-17;17:00;1650;1002
2022-10-17;19:00;1699;4
2022-10-18;05:00;1573;1
2022-10-18;06:00;1708;1
2022-10-18;11:00;1288;3683
2022-10-19;05:00;5359;1
2022-10-19;11:00;5939;2906
2022-10-19;14:00;6097;3167
2022-10-19;21:00;7403;1
2022-10-20;01:00;5571;1
2022-10-20;07:00;4758;1
2022-10-20;11:00;5378;1915
2022-10-20;15:00;5789;2045
2022-10-20;18:00;5387;124
2022-10-20;19:00;6107;2
2022-10-20;20:00;7098;1
2022-10-20;23:00;8411;1
2022-10-21;10:00;6775;1135
2022-10-21;16:00;6676;1090
2022-10-21;18:00;6268;128
2022-10-21;22:00;7258;1
2022-10-21;23:00;7231;1
2022-10-22;01:00;6907;1
2022-10-22;14:00;2453;3987
2022-10-22;16:00;2150;2521
2022-10-23;02:00;6343;1
2022-10-23;03:00;6341;1
2022-10-23;04:00;7085;1
2022-10-23;06:00;7818;1
2022-10-23;20:00;13254;1
2022-10-23;21:00;13213;1
2022-10-23;22:00;12706;1
2022-10-24;14:00;10805;3559
2022-10-24;18:00;8299;166
2022-10-24;23:00;7041;1
2022-10-25;03:00;4986;1
2022-10-25;08:00;3179;84
2022-10-25;10:00;2802;1786
2022-10-25;15:00;2539;2066
2022-10-25;23:00;6433;1
2022-10-26;06:00;6951;1
2022-10-26;15:00;4307;3255
2022-10-26;19:00;2373;1
2022-10-27;02:00;7374;1
2022-10-27;03:00;7497;1
2022-10-27;09:00;7883;645
2022-10-27;16:00;4340;1362
2022-10-27;17:00;5076;551
2022-10-28;05:00;8494;1
2022-10-28;10:00;7126;1796
2022-10-28;15:00;2849;2789
2022-10-29;00:00;3893;1
2022-10-29;02:00;4710;1
2022-10-29;03:00;5271;1
2022-10-29;06:00;6455;1
2022-10-29;11:00;6803;2554
2022-10-29;13:00;5633;3118
2022-10-29;21:00;5479;1
2022-10-30;01:00;3458;1
2022-10-30;14:00;2923;2834
2022-10-30;16:00;2005;765
2022-10-30;23:00;2100;1
2022-10-31;01:00;1691;0
2022-10-31;09:00;4736;1667
2022-10-31;10:00;4613;2483
2022-10-31;11:00;4563;2899
2022-11-01;01:00;12128;1
2022-11-01;02:00;11749;1
2022-11-01;04:00;11848;1
2022-11-01;06:00;10884;1
2022-11-01;08:00;10556;474
2022-11-01;09:00;9989;1639
2022-11-01;13:00;12047;3869
2022-11-01;18:00;11009;4
2022-11-02;04:00;7647;1
2022-11-02;11:00;3249;4266
2022-11-02;14:00;6083;3695
2022-11-02;15:00;5895;2458
2022-11-03;03:00;9042;1
2022-11-03;04:00;8991;1
2022-11-03;14:00;9534;888
2022-11-03;16:00;9488;337
2022-11-03;17:00;9659;59
2022-11-03;22:00;11579;1
2022-11-04;11:00;6087;2234
2022-11-04;13:00;6960;2679
2022-11-04;14:00;7565;2369
2022-11-04;19:00;6346;1
2022-11-05;02:00;3101;0
2022-11-05;03:00;2801;0
2022-11-05;17:00;4635;86
2022-11-05;18:00;5490;5
2022-11-06;04:00;7162;1
2022-11-06;08:00;8155;674
2022-11-06;09:00;8131;1926
2022-11-06;17:00;10632;79
2022-11-06;20:00;11052;2
2022-11-06;22:00;10946;1
2022-11-07;04:00;11057;1
2022-11-07;05:00;11225;1
2022-11-07;10:00;10621;3291
2022-11-07;16:00;7947;686
2022-11-07;22:00;11682;1
2022-11-08;00:00;12255;1
2022-11-08;10:00;12674;1589
2022-11-09;06:00;8235;1
2022-11-09;13:00;6096;1344
2022-11-09;14:00;5624;1183
2022-11-10;00:00;4218;1
